id ; projects ; ranks ; target ; cost ; l3 ; l4 ; l5 ; msc
1 ; 26  ; 3  ; 1 ; 3 ; 0 ; 2 ; 0 ; 0
2 ; 20  ; 2  ; 1 ; 2 ; 1 ; 4 ; 3 ; 1
3 ; 2 9 23 42 78 100 106  ; 1 2 4 5 8 9 10  ; 8 ; 39 ; 2 ; 3 ; 0 ; 3
4 ; 7* 60* 62* 67 97*  ; 1 6 7 8 9  ; 5 ; 31 ; 1 ; 3 ; 4 ; 1
6 ; 3 11 92 98  ; 1 2 3 8  ; 4 ; 14 ; 2 ; 1 ; 3 ; 3
7 ; 1 18 22 40 57  ; 1 3 4 8 11  ; 5 ; 27 ; 1 ; 5 ; 1 ; 0
8 ; 44 45 49  ; 1 2 3  ; 3 ; 6 ; 1 ; 5 ; 0 ; 3
9 ; 41* 70*  ; 1 2  ; 2 ; 3 ; 0 ; 1 ; 0 ; 1
10 ; 13 17 83 105  ; 1 4 5 7  ; 4 ; 17 ; 1 ; 2 ; 2 ; 4
11 ; 37 38 76 93  ; 1 2 3 4  ; 4 ; 10 ; 1 ; 4 ; 0 ; 4
13 ; 21 53 74  ; 1 3 4  ; 3 ; 8 ; 0 ; 5 ; 0 ; 4
14 ; 33 35 71  ; 2 4 5  ; 3 ; 11 ; 0 ; 2 ; 0 ; 2
15 ; 30 80 82 95 99 101  ; 1 2 4 10 12 24  ; 6 ; 53 ; 0 ; 2 ; 1 ; 6
16 ; 31 32 47 91  ; 1 2 5 12  ; 4 ; 20 ; 0 ; 5 ; 0 ; 4
17 ; 6 29 88 90  ; 1 3 7 8  ; 4 ; 19 ; 2 ; 2 ; 0 ; 5
18 ; 114  ; 2  ; 1 ; 2 ; 0 ; 0 ; 1 ; 1
19 ; 51 54 103 109  ; 6 8 9 10  ; 4 ; 33 ; 0 ; 2 ; 0 ; 2
20 ; 27 110 112  ; 4 7 9  ; 3 ; 20 ; 1 ; 2 ; 0 ; 6
21 ; 15 34 72 73 96* 107  ; 1 2 4 6 10 14  ; 7 ; 37 ; 1 ; 2 ; 0 ; 5
22 ; 12 43 55 77 94  ; 1 3 4 5 6  ; 5 ; 19 ; 2 ; 4 ; 1 ; 2
23 ; 66 75 84  ; 1 4 6  ; 3 ; 11 ; 0 ; 0 ; 2 ; 2
24 ; 108  ; 2  ; 1 ; 2 ; 1 ; 3 ; 0 ; 5
25 ; 5 28 111  ; 1 2 9  ; 5 ; 12 ; 2 ; 3 ; 0 ; 2
26 ; 68 87 113  ; 6 7 12  ; 3 ; 25 ; 0 ; 0 ; 1 ; 3
29 ; 16 24 25 52 56 81 85  ; 1 2 3 4 7 11 14  ; 7 ; 42 ; 0 ; 6 ; 0 ; 3
31 ; 8 19 69  ; 1 3 7  ; 3 ; 11 ; 1 ; 1 ; 1 ; 1
32 ; 4 14 36 63 64 79  ; 5 8 12 14 16 18  ; 9 ; 73 ; 2 ; 1 ; 2 ; 1
33 ; 39* 58* 59* 65*  ; 1 2 3 4  ; 4 ; 10 ; 0 ; 1 ; 3 ; 0
34 ; 10 46 50 104  ; 1 3 4 8  ; 4 ; 16 ; 2 ; 3 ; 0 ; 4
