Greedy maximum matching
Matching size: 201
Matching weight: 1532
Matching profile: (32,23,19,15,8,11,8,8,12,6,6,4,2,9,7,7,6,3,6,4,2,2,0,1)
Applicant  Assigned post  Rank
   1           187          1
   2           191          2
   3           159          3
   4           152          4
   5           107          9
   6           106          8
   7            96          1
   8           120         16
   9           102         11
  10           160         20
  11            20          6
  12           147         19
  13            72          1
  14            74          2
  15           185          4
  16           186          5
  17           136          6
  18           189          7
  19           197          9
  20           130         16
  21           121         20
  22            34         18
  23            17          6
  24           113          7
  25            31          8
  26            37          9
  27           171         12
  28            10         16
  29            64         20
  30            73         22
  31            65         21
  32            30          1
  33            68          2
  34            82          3
  35           134          4
  36           156         15
  37           164          6
  38           173          7
  39           137         14
  40            21          3
  41            95          1
  42            23          3
  43           149          4
  44            79         14
  45           112          9
  46           117         15
  47           168          1
  48           142          2
  49            24         15
  50            71          4
  51            36          6
  52           195         11
  53             1          1
  54           169          2
  55            52          3
  56            18          3
  57            40          1
  58            43          2
  59            35          5
  60           104          1
  61            11          2
  62           105         10
  63            29          4
  64            61          9
  65            51          1
  66           151         14
  67           176          9
  68             5          4
  69            14          3
  70            22          7
  71            83          1
  72            48          2
  73           141          3
  74           153          4
  75           163          1
  76           123          4
  77           180         17
  78            85          2
  79           126          8
  80            99         10
  81           119         18
  82            54         15
  83           140          1
  84           150          2
  85           109          6
  86           131          1
  87            60          2
  88           111          5
  89           170          7
  90           190         11
  91            69         14
  92            53          1
  93           124          3
  94            90          1
  95           114         17
  96            59          8
  97           115         12
  98             9         14
  99            45         15
 100           132         16
 101            91          2
 102           166         19
 103           172         13
 104            89          2
 105           196          3
 106           202          4
 107            19          7
 108            33          9
 109            44         17
 110            62         11
 111           193         16
 112           146         19
 113            94          1
 114             4          2
 115           103          3
 116             8          4
 117            57          8
 118           165         10
 119            93          1
 120           192          2
 121           198          4
 122           158         16
 123            55          9
 124           128         13
 125           157         15
 126           143          6
 127            27          2
 128            49          3
 129            98          1
 130           183         11
 131           167          9
 132           129          7
 133            97          1
 134           178         14
 135           145          3
 136           148          4
 137           174          5
 138           181          6
 139             7          1
 140            25          2
 141            63          3
 142           177         14
 143            77          6
 144            56         10
 145           161          1
 146           155          3
 147           118          5
 148           138         24
 149            75         19
 150            41         17
 151            76         20
 152            84          1
 153            28          4
 154            67          5
 155           199         14
 156           175          8
 157           179          9
 158           133          1
 159           139          3
 160           201          6
 161           135          2
 162           125         17
 163            58         10
 164           182         14
 165           200          6
 166            38          9
 167            46         11
 168            81         22
 169            80         18
 170           162         21
 171            47         12
 172           116         19
 173            66         15
 174           110         17
 175            86          1
 176           144          1
 177           194          2
 178            13          1
 179            16          5
 180           108          3
 181             2          2
 182             3          3
 183           127          8
 184             6          9
 185           184         19
 186            88          1
 187            50         12
 188           122          7
 189            26         10
 190            32         16
 191            78          1
 192            12          2
 193            70          5
 194            87          1
 195            92          2
 196           188          4
 197           154          8
 198            15          1
 199            39          2
 200            42          3
 201           203          1

Post  Places filled Capacity          Assignees
