8 | 23 74 75 80 130 136 169 179 | 6 | 187 191 159 152 122 83 201 106 107 137 154 156 166 178
21 | 48 61 64 98 125 141 159 | 6 | 96 91 192 7 15 20 47 71 76 80 102 82 111 114 115 120 136 146 147 160 185
1 | 47 49 76 114 120 | 9 | 72 74 53 185 186 136 189 200 197 98 85 1 15 43 52 130 146 20 48 121
10 | 45 56 67 155 | 10 | 88 86 85 3 2 17 113 31 37 50 60 171 161 188 97 10 27 34 39 64 65 73
79 | 126 | 8 | 30 68 82 134 143 164 173 77 113 115 121 74 125 137 156 159 41 44
105 | 194 197 201 | 1 | 90 84 21 9
13 | 42 88 128 132 144 156 163 | 6 | 95 13 23 149 155 170 85 94 112 157 32 55 65 79 117 138
30 | 4 7 18 81 84 165 167 188 | 6 | 168 142 108 71 72 36 1 202 92 192 195 197 3 19 24 10
7 | 9 59 91 109 131 137 154 160 162 166 187 | 3 | 1 169 52 76 185 43 40 30
104 | 192 195 202 | 1 | 98 92 18 1
67 | 21 52 90 150 | 3 | 40 43 110 183 35 130 162 75
18 | 5 46 62 124 146 152 168 172 | 5 | 104 11 24 29 57 69 7 22 61 105 103 45
28 | 8 17 57 99 119 123 158 181 | 6 | 51 85 14 5 32 44 22 34 176 180 189 190 134 151
29 | 102 171 | 4 | 83 48 141 153 167 106 42 117 120 127 128 129
42 | 28 55 65 93 157 | 8 | 163 85 104 123 172 68 169 126 17 99 95 14 22 51 54 62 180 119
119 |  | 3 | 140 150 194 202 86 109 16 25 116
25 | 73 79 94 103 104 105 112 184 | 6 | 131 60 4 155 111 26 170 144 180 6 190 85 5 69
82 | 87 107 139 142 | 2 | 53 86 124 109 11 108
19 | 35 40 43 110 183 | 9 | 90 91 1 21 140 52 130 59 150 162 200 115 113 9 45 132 114 80 166 187
40 | 16 66 | 10 | 86 89 196 202 3 13 19 25 33 58 62 72 172 84 88 193 44 5 146 95
26 | 24 44 63 92 117 133 138 149 | 6 | 94 4 103 8 168 172 124 57 79 165 184 119 81 123
31 | 34 51 85 176 180 189 | 8 | 93 192 14 198 186 143 139 134 55 38 4 7 128 28 157 158 181 99
23 | 15 38 41 83 106 185 186 191 | 6 | 98 27 49 54 102 112 129 171 167 177 183 198 76 120
2 | 11 29 78 147 | 0 | 
41 | 30 68 70 82 134 143 164 173 | 6 | 97 135 145 148 174 181 182 126 160 163 175 176 179 178
9 | 10 27 39 97 135 145 148 174 | 6 | 7 25 63 70 71 77 82 114 155 56 60 64 68 177
63 | 2 31 32 89 129 182 | 7 | 161 53 155 13 118 116 37 180 3 199 99 87 95 203 5 19 41 47 75 76 82 113 132 138 144 151 170
38 | 19 22 54 100 101 108 153 177 | 6 | 84 89 12 28 67 133 158 175 179 195 196 193 198 199
16 | 6 26 37 50 127 151 | 7 | 133 135 139 142 145 201 8 23 28 58 63 149 161 182 191 95 125
83 | 140 | 11 | 86 90 91 96 194 200 16 21 38 40 46 47 53 60 66 109 110 80 116 150 162 81
103 | 95 122 | 2 | 144 194 3 6 192 87 197 26 31 193 36 37 46 60 69 73 105 112 127 155
88 | 33 58 116 161 | 3 | 13 72 108 3 16 66 140 171
20 | 60 69 118 178 | 10 | 88 2 3 93 94 95 122 127 6 26 37 50 25 89 31 32 33 182 184 196
43 | 77 113 115 121 | 3 | 78 12 43 49 70 72 102 11
77 | 3 36 175 | 4 | 87 92 191 188 182 165 160 154 134 132
53 | 12 53 96 111 | 3 | 15 39 42 131 164 61 136 49
101 | 20 71 | 1 | 203 18
