1 | 15 | 1 | 34 35 26 33
2 | 1 16 17 18 59 66 85 61 | 1 | 13 20 21 22
3 | 19 | 8 | 42 23 24 9 2 1 77 78 100 106 108 109 18 21 22 20
4 | 20 21 22 59 | 5 | 67 68 114 34 18
5 | | 0 | 
6 | 23 60 67 68 86 | 4 | 3 98 11 26 32 5 78 92 105 25
7 | 26 27 | 5 | 40 56 1 22 32 53 16 57 24 21 18
8 | 2 28 29 87 88 89 | 3 | 44 45 49 5 55 77 43
9 | | 2 | 
10 | 30 62 69 90 60 | 4 | 13 42 49 83 105 2 17 68 113
11 | 3 31 32 91 92 | 4 | 38 76 37 93 28 5 49 94 98 29 42 78 10 12
12 | 70 | 0 | 
13 | 33 34 35 71 72 73 | 3 | 74 15 21 53 56  66  1 20
14 | 74 | 3 | 15 33 34 35 71 72 73
15 | 36 75 63 | 6 | 99 101 27 82 29 26 22 45 44 95 43 30 20 28 113 114 83 103 17 57 3 105 69 80 84 85 90 56 32 84
16 | 37 38 76 93 94 | 4 | 31 32 28 42 47 49 50 3 5 10 12 91 92 78 81 98 104 110 111 112
17 | 5 42 77 78 98 | 4 | 6 19 29 49 69 79 90 88
18 | 62 | 1 | 105 114 100 87 85 66
19 | | 4 | 19 77 75 69 50 51 108 109 54 103 76 38 10
20 | 6 43 79 99 100 101 | 3 | 45 44 55 27 49 104 110 111 112
21 | 7 102 | 7 | 15 34 74 72 76 73 21 37 105 107 20 17 34 23
22 | 8 44 45 63 | 5 | 43 75 12 55 77 94 99 56 69 79
23 | 64 | 3 | 75 8 44 66 45 84 21
24 | 9 46 47 48 80 81 82 103 | 1 | 6 108 109
25 | 10 49 50 104 | 5 | 5 28 76 42 38 31 37 32 111 93 78 83 12 6
26 | 83 | 3 | 21 42 47 71 82 113 68 110 17 20 49 87
27 | | 0 | 
28 | 51 52 105 106 | 0 | 
29 | 53 107 | 7 | 56 24 25 16 1 73 85 72 71 99 81 100 57 52
30 | 11 54 108 109 65 | 0 | 
31 | 64 | 3 | 8 45 19 43 72 75 69
32 | | 9 | 43 44 45 55 64 15 75 79 99 100 101 63 19 4 6 14 106 36
33 | | 4 | 
34 | 12 55 110 111 112 | 4 | 50 49 10 104 2 5 32 46 79 6 78 3 92
35 | 13 56 57 58 65 113 114 | 0 | 
